,Nation,Coverage,Metric,Value,Year
11,Alabama,Total,estimate,"5,022",2023
12,Alabama,Any coverage,estimate,"4,596",2023
13,Alabama,Uninsured,estimate,426,2023
14,Alabama,Private,estimate,"3,368",2023
15,Alabama,Employer-based,estimate,"2,694",2023
16,Alabama,Direct-purchase,estimate,707,2023
17,Alabama,TRICARE,estimate,247,2023
18,Alabama,Public,estimate,"1,938",2023
19,Alabama,Medicaid,estimate,"1,037",2023
20,Alabama,Medicare,estimate,"1,046",2023
21,Alabama,VA Care,estimate,146,2023
22,Alaska,Total,estimate,702,2023
23,Alaska,Any coverage,estimate,629,2023
24,Alaska,Uninsured,estimate,73,2023
25,Alaska,Private,estimate,463,2023
26,Alaska,Employer-based,estimate,379,2023
27,Alaska,Direct-purchase,estimate,66,2023
28,Alaska,TRICARE,estimate,64,2023
29,Alaska,Public,estimate,266,2023
30,Alaska,Medicaid,estimate,165,2023
31,Alaska,Medicare,estimate,107,2023
32,Alaska,VA Care,estimate,32,2023
33,Arizona,Total,estimate,"7,322",2023
34,Arizona,Any coverage,estimate,"6,594",2023
35,Arizona,Uninsured,estimate,727,2023
36,Arizona,Private,estimate,"4,686",2023
37,Arizona,Employer-based,estimate,"3,827",2023
38,Arizona,Direct-purchase,estimate,924,2023
39,Arizona,TRICARE,estimate,247,2023
40,Arizona,Public,estimate,"2,809",2023
41,Arizona,Medicaid,estimate,"1,501",2023
42,Arizona,Medicare,estimate,"1,473",2023
43,Arizona,VA Care,estimate,210,2023
44,Arkansas,Total,estimate,"3,013",2023
45,Arkansas,Any coverage,estimate,"2,744",2023
46,Arkansas,Uninsured,estimate,269,2023
47,Arkansas,Private,estimate,"1,815",2023
48,Arkansas,Employer-based,estimate,"1,426",2023
49,Arkansas,Direct-purchase,estimate,419,2023
50,Arkansas,TRICARE,estimate,93,2023
51,Arkansas,Public,estimate,"1,295",2023
52,Arkansas,Medicaid,estimate,769,2023
53,Arkansas,Medicare,estimate,614,2023
54,Arkansas,VA Care,estimate,90,2023
55,California,Total,estimate,"38,500",2023
56,California,Any coverage,estimate,"36,040",2023
57,California,Uninsured,estimate,"2,458",2023
58,California,Private,estimate,"24,400",2023
59,California,Employer-based,estimate,"20,240",2023
60,California,Direct-purchase,estimate,"4,889",2023
61,California,TRICARE,estimate,634,2023
62,California,Public,estimate,"15,500",2023
63,California,Medicaid,estimate,"10,470",2023
64,California,Medicare,estimate,"6,412",2023
65,California,VA Care,estimate,557,2023
66,Colorado,Total,estimate,"5,776",2023
67,Colorado,Any coverage,estimate,"5,389",2023
68,Colorado,Uninsured,estimate,387,2023
69,Colorado,Private,estimate,"4,063",2023
70,Colorado,Employer-based,estimate,"3,309",2023
71,Colorado,Direct-purchase,estimate,756,2023
72,Colorado,TRICARE,estimate,231,2023
73,Colorado,Public,estimate,"1,960",2023
74,Colorado,Medicaid,estimate,"1,083",2023
75,Colorado,Medicare,estimate,957,2023
76,Colorado,VA Care,estimate,145,2023
77,Connecticut,Total,estimate,"3,574",2023
78,Connecticut,Any coverage,estimate,"3,369",2023
79,Connecticut,Uninsured,estimate,205,2023
80,Connecticut,Private,estimate,"2,424",2023
81,Connecticut,Employer-based,estimate,"2,063",2023
